exchangeAddress,exchangeName,Chain
0xae7006588d03bd15d6954e3084a7e644596bc251,NEXBIT Pro,Ethereum
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,OKEx,Ethereum
0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,OKEx 2,Ethereum
0xa7efae728d2936e78bda97dc267687568dd593f3,OKEx 3,Ethereum
0x2c8fbb630289363ac80705a1a61273f76fd5a161,OKEx 4,Ethereum
0x59fae149a8f8ec74d5bc038f8b76d25b136b9573,OKEx 5,Ethereum
0x98ec059dc3adfbdd63429454aeb0c990fba4a128,OKEx 6,Ethereum
0x5041ed759dd4afc3a72b8192c143f72f4724081a,OKEx 7,Ethereum
0x03e3ff995863828554282e80870b489cc31dc8bc,OMGFIN Exchange,Ethereum
0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,OTCBTC,Ethereum
0xcacc694840ecebadd9b4c419e5b7f1d73fedf999,Panda.Exchange 1: Hot Wallet,Ethereum
0xb709d82f0706476457ae6bad7c3534fbf424382c,Panda.Exchange 2: Hot Wallet,Ethereum
0xbd8ef191caa1571e8ad4619ae894e07a75de0c35,Paribu 1,Ethereum
0x2bb97b6cf6ffe53576032c11711d59bd056830ee,Paribu 2,Ethereum
0xfb90501083a3b6af766c8da35d3dde01eb0d2a68,Paribu 3,Ethereum
0xabc74170f3cb8ab352820c39cc1d1e05ce9e41d3,Paribu 4,Ethereum
0x9acbb72cf67103a30333a32cd203459c6a9c3311,Paribu 5,Ethereum
0xd4dcd2459bb78d7a645aa7e196857d421b10d93f,Peatio,Ethereum
0x32be343b94f860124dc4fee278fdcbd38c102d88,Poloniex,Ethereum
0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,Poloniex 2,Ethereum
0xb794f5ea0ba39494ce839613fffba74279579268,Poloniex 3,Ethereum
0xa910f92acdaf488fa6ef02174fb86208ad7722ba,Poloniex 4,Ethereum
0xaa9fa73dfe17ecaa2c89b39f0bb2779613c5fc3b,Poloniex: BAT,Ethereum
0x2fa2bc2ce6a4f92952921a4caa46b3727d24a1ec,Poloniex: BNT,Ethereum
0x31a2feb9b5d3b5f4e76c71d6c92fc46ebb3cb1c1,Poloniex: CVC,Ethereum
0x6b71834d65c5c4d8ed158d54b47e6ea4ff4e5437,Poloniex: FOAM,Ethereum
0x48d466b7c0d32b61e8a82cd2bcf060f7c3f966df,Poloniex: GNO,Ethereum
0x0536806df512d6cdde913cf95c9886f65b1d3462,Poloniex: GNT,Ethereum
